# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
225,PB4B,-,5,PCLKC5_0/LLC_GPLL0T_MFGOUT2/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB4A,TRUE,BDQ6,T5,V22,N15,K12,U5,
227,PB6A,-,5,-,True_OF_PB6B,TRUE,BDQS6,T1,U26,L16,K16,T1,
231,PB6B,-,5,-,Comp_OF_PB6A,TRUE,BDQSN6,U1,V26,L15,L16,U1,
232,PB8A,-,5,ADC_CP3,True_OF_PB8B,TRUE,BDQ6,T4,W25,P15,K13,V3,
236,PB10A,-,5,PCLKT5_1/CDR0_TESTP/ADC_CP2/COMP3P,True_OF_PB10B,TRUE,BDQ6,U3,W24,K16,L14,U2,
237,PB8B,-,5,ADC_CN3,Comp_OF_PB8A,TRUE,BDQ6,U4,W26,P16,L13,U3,
240,PB10B,-,5,PCLKC5_1/CDR0_TESTN/ADC_CN2/COMP3N,Comp_OF_PB10A,TRUE,BDQ6,T3,W23,K15,K14,V2,
241,PB12A,-,5,CDR1_TESTP,True_OF_PB12B,TRUE,BDQ6,T6,W22,R16,K11,T4,
245,PB12B,-,5,CDR1_TESTN,Comp_OF_PB12A,TRUE,BDQ6,U6,W21,R15,L11,T5,
247,PB26A,-,5,-,True_OF_PB26B,TRUE,BDQ30,W3,AB22,K14,M16,W3,
253,PB26B,-,5,-,Comp_OF_PB26A,TRUE,BDQ30,Y3,AA22,L14,M15,Y3,
254,PB28A,-,5,-,True_OF_PB28B,TRUE,BDQ30,W5,AA23,M14,M14,W4,
