# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
0,VSSSDQ,-,-,-,-,-,-,-,C5,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,E5,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F5,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,A4,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D4,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F4,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B3,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,C3,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,E3,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,G3,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B2,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,C2,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,E2,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F2,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D1,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,G1,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,L16,-,-,-,
0,NC_A2,-,-,-,-,-,-,-,A2,-,-,A2,
0,NC_A3,-,-,-,-,-,-,-,A3,-,-,A3,
0,NC_A5,-,-,-,-,-,-,-,A5,-,-,-,
0,NC_A6,-,-,-,-,-,-,-,A6,-,-,-,
0,NC_AA15,-,-,-,-,-,-,-,AA15,-,-,-,
0,NC_AA16,-,-,-,-,-,-,-,AA16,-,-,-,
0,NC_AA19,-,-,-,-,-,-,-,AA19,-,-,-,
0,NC_AA20,-,-,-,-,-,-,-,AA20,-,-,-,
0,NC_AA25,-,-,-,-,-,-,-,AA25,-,-,-,
0,NC_AA26,-,-,-,-,-,-,-,AA26,-,-,-,
0,NC_AA8,-,-,-,-,-,-,-,AA8,-,-,-,
0,NC_AA9,-,-,-,-,-,-,-,AA9,-,-,-,
0,NC_AB16,-,-,-,-,-,-,-,AB16,-,-,-,
0,NC_AC16,-,-,-,-,-,-,-,AC16,-,-,-,
0,NC_AD16,-,-,-,-,-,-,-,AD16,-,-,-,
0,NC_AD17,-,-,-,-,-,-,-,AD17,-,-,-,
0,NC_AD7,-,-,-,-,-,-,-,AD7,-,-,-,
0,NC_AD8,-,-,-,-,-,-,-,AD8,-,-,-,
0,NC_AE16,-,-,-,-,-,-,-,AE16,-,-,-,
0,NC_AE17,-,-,-,-,-,-,-,AE17,-,-,-,
0,NC_AE18,-,-,-,-,-,-,-,AE18,-,-,-,
0,NC_AE7,-,-,-,-,-,-,-,AE7,-,-,-,
0,NC_AE8,-,-,-,-,-,-,-,AE8,-,-,-,
0,NC_AF17,-,-,-,-,-,-,-,AF17,-,-,-,
0,NC_AF18,-,-,-,-,-,-,-,AF18,-,-,-,
0,NC_AF7,-,-,-,-,-,-,-,AF7,-,-,-,
0,NC_AF8,-,-,-,-,-,-,-,AF8,-,-,-,
0,NC_B1,-,-,-,-,-,-,-,B1,-,-,B1,
0,NC_B4,-,-,-,-,-,-,-,B4,-,-,B4,
0,NC_B7,-,-,-,-,-,-,-,B7,-,-,-,
0,NC_C1,-,-,-,-,-,-,-,C1,-,-,C1,
0,NC_C4,-,-,-,-,-,-,-,C4,-,-,-,
0,NC_C6,-,-,-,-,-,-,-,C6,-,-,C6,
0,NC_C8,-,-,-,-,-,-,-,C8,-,-,-,
0,NC_D2,-,-,-,-,-,-,-,D2,-,-,D2,
0,NC_D3,-,-,-,-,-,-,-,D3,-,-,-,
0,NC_D5,-,-,-,-,-,-,-,D5,-,-,D5,
0,NC_E1,-,-,-,-,-,-,-,E1,-,-,E1,
0,NC_E4,-,-,-,-,-,-,-,E4,-,-,E4,
0,NC_E6,-,-,-,-,-,-,-,E6,-,-,-,
0,NC_E7,-,-,-,-,-,-,-,E7,-,-,-,
0,NC_E8,-,-,-,-,-,-,-,E8,-,-,E8,
0,NC_E9,-,-,-,-,-,-,-,E9,-,-,-,
0,NC_F1,-,-,-,-,-,-,-,F1,-,-,F1,
0,NC_F11,-,-,-,-,-,-,-,F11,-,-,-,
0,NC_F3,-,-,-,-,-,-,-,F3,-,-,-,
0,NC_F9,-,-,-,-,-,-,-,F9,-,-,-,
0,NC_G11,-,-,-,-,-,-,-,G11,-,-,G11,
0,NC_G8,-,-,-,-,-,-,-,G8,-,-,-,
0,NC_G9,-,-,-,-,-,-,-,G9,-,-,-,
0,NC_H10,-,-,-,-,-,-,-,H10,-,-,-,
0,NC_H11,-,-,-,-,-,-,-,H11,-,-,-,
0,NC_H12,-,-,-,-,-,-,-,H12,-,-,-,
0,NC_H8,-,-,-,-,-,-,-,H8,-,-,-,
0,NC_H9,-,-,-,-,-,-,-,H9,-,-,-,
0,NC_J10,-,-,-,-,-,-,-,J10,-,-,-,
0,NC_J8,-,-,-,-,-,-,-,J8,-,-,-,
0,NC_J9,-,-,-,-,-,-,-,J9,-,-,-,
0,NC_K10,-,-,-,-,-,-,-,K10,-,-,-,
0,NC_K11,-,-,-,-,-,-,-,K11,-,-,-,
0,NC_K12,-,-,-,-,-,-,-,K12,-,-,-,
0,NC_K9,-,-,-,-,-,-,-,K9,-,-,-,
0,NC_L18,-,-,-,-,-,-,-,L18,-,-,-,
0,NC_M18,-,-,-,-,-,-,-,M18,-,-,-,
0,NC_M19,-,-,-,-,-,-,-,M19,-,-,-,
0,NC_M22,-,-,-,-,-,-,-,M22,-,-,-,
0,NC_M23,-,-,-,-,-,-,-,M23,-,-,-,
0,NC_M24,-,-,-,-,-,-,-,M24,-,-,-,
0,NC_M25,-,-,-,-,-,-,-,M25,-,-,-,
0,NC_N18,-,-,-,-,-,-,-,N18,-,-,-,
0,NC_P1,-,-,-,-,-,-,-,P1,-,-,-,
0,NC_P2,-,-,-,-,-,-,-,P2,-,-,-,
0,NC_P3,-,-,-,-,-,-,-,P3,-,-,-,
0,NC_P6,-,-,-,-,-,-,-,P6,-,-,-,
0,NC_P7,-,-,-,-,-,-,-,P7,-,-,-,
0,NC_R1,-,-,-,-,-,-,-,R1,-,-,-,
0,NC_R2,-,-,-,-,-,-,-,R2,-,-,-,
0,NC_R3,-,-,-,-,-,-,-,R3,-,-,-,
0,NC_W19,-,-,-,-,-,-,-,W19,-,-,-,
0,NC_W20,-,-,-,-,-,-,-,W20,-,-,-,
0,NC_W8,-,-,-,-,-,-,-,W8,-,-,-,
0,NC_W9,-,-,-,-,-,-,-,W9,-,-,-,
0,NC_Y15,-,-,-,-,-,-,-,Y15,-,-,-,
0,NC_Y19,-,-,-,-,-,-,-,Y19,-,-,-,
0,NC_Y20,-,-,-,-,-,-,-,Y20,-,-,-,
0,NC_Y21,-,-,-,-,-,-,-,Y21,-,-,-,
0,NC_Y22,-,-,-,-,-,-,-,Y22,-,-,-,
0,NC_Y25,-,-,-,-,-,-,-,Y25,-,-,-,
0,NC_Y26,-,-,-,-,-,-,-,Y26,-,-,-,
0,NC_Y8,-,-,-,-,-,-,-,Y8,-,-,-,
0,NC_Y9,-,-,-,-,-,-,-,Y9,-,-,-,
,NC_A18,,,,,,,,-,,,A18,
,NC_A19,,,,,,,,-,,,A19,
,NC_C3,,,,,,,,-,,,C3,
,NC_C5,,,,,,,,-,,,C5,
,NC_D13,,,,,,,,-,,,D13,
,NC_D14,,,,,,,,-,,,D14,
,NC_D15,,,,,,,,-,,,D15,
,NC_D16,,,,,,,,-,,,D16,
,NC_D4,,,,,,,,-,,,D4,
,NC_D6,,,,,,,,-,,,D6,
,NC_D9,,,,,,,,-,,,D9,
,NC_E12,,,,,,,,-,,,E12,
,NC_E13,,,,,,,,-,,,E13,
,NC_E3,,,,,,,,-,,,E3,
,NC_E5,,,,,,,,-,,,E5,
,NC_F12,,,,,,,,-,,,F12,
,NC_F14,,,,,,,,-,,,F14,
,NC_G12,,,,,,,,-,,,G12,
,NC_G2,,,,,,,,-,,,G2,
,NC_G3,,,,,,,,-,,,G3,
,NC_H13,,,,,,,,-,,,H13,
,,,,,,,,,,,,,
