# Pinout for LFCPNX-100 ,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
PADN,FNC,PADX,PADY,CBG256
1100,NC_VSSSDQ0,-1700.6715,3520.8,Unused
1101,VCC,-1733.0715,3266.3673,Unused
1102,VSSSDQ0,-1733.0715,3375,VSSSDQ
1103,VSSSDQ0,-1765.4715,3465,VSSSDQ
1104,NC_VSSSDQ0,-1765.4715,3520.8,Unused
1105,VSS,-1797.8715,3266.3673,Unused
1106,SD2_TXDN,-1797.8715,3375,A8
1107,VCCSD2,-1830.2715,3465,VCCSD2
1108,NC_VCCSD2,-1830.2715,3520.8,Unused
1109,SD2_TXDP,-1862.6715,3375,A9
1110,NC_SD2_REFRET,-1880.6715,3229.2,Unused
1111,SD2_REFRET,-1880.6715,3285,C9
1112,VSSSDQ0,-1895.0715,3465,VSSSDQ
1113,NC_VSSSDQ0,-1895.0715,3520.8,Unused
1114,VSSSDQ0,-1927.4715,3375,VSSSDQ
1115,NC_VCCPLLSD2,-1945.4715,3229.2,Unused
1116,VCCPLLSD2,-1945.4715,3285,VCCPLLSD2
1117,VCCSD2,-1959.8715,3465,VCCSD2
1118,NC_VCCSD2,-1959.8715,3520.8,Unused
1119,VSS,-1985.0805,1961.7534,VSS
1120,NC_VSS,-1985.0805,2026.5534,Unused
1121,SD2_RXDN,-1992.2715,3375,B7
1122,VSSSDQ0,-2024.6715,3465,VSSSDQ
1123,NC_VSSSDQ0,-2024.6715,3520.8,Unused
1124,NC_VCCPLLSD2,-2034.1215,3229.2,Unused
1125,VCCPLLSD2,-2034.1215,3285,Unused
1126,SD2_RXDP,-2057.0715,3375,C8
1127,VCCSD2,-2089.4715,3465,VCCSD2
1128,NC_VCCSD2,-2089.4715,3520.8,Unused
1129,NC_SD2_REXT,-2111.0715,3229.2,Unused
1130,SD2_REXT,-2111.0715,3285,D9
1131,VSSSDQ0,-2121.8715,3375,VSSSDQ
1132,VCC,-2153.3805,1961.7534,VCC
1133,NC_VCC,-2153.3805,2026.5534,Unused
1134,VSSSDQ0,-2154.2715,3465,VSSSDQ
1135,NC_VSSSDQ0,-2154.2715,3520.8,Unused
1136,SDQ0_REFCLKN,-2235.2715,3292.02,E10
1137,VCCAUXSDQ0,-2235.2715,3465,VCCAUXSDQ0
1138,NC_VCCAUXSDQ0,-2235.2715,3520.8,Unused
1139,NC_VCCAUXSDQ0,-2267.6715,3369.6,Unused
1140,SDQ0_REFCLKP,-2300.0715,3292.02,D10
1141,VSSSDQ0,-2300.0715,3465,VSSSDQ
1142,NC_VSSSDQ0,-2300.0715,3520.8,Unused
1143,VSSSDQ0,-2364.8715,3375,VSSSDQ
1144,VSSSDQ0,-2397.2715,3465,VSSSDQ
1145,NC_VSSSDQ0,-2397.2715,3520.8,Unused
1146,VSS,-2419.1505,1961.7534,VSS
1147,SD1_TXDN,-2429.6715,3375,A11
1148,VCCSD1,-2462.0715,3465,VCCSD1
1149,NC_VCCSD1,-2462.0715,3520.8,Unused
1150,SD1_TXDP,-2494.4715,3375,A12
1151,NC_SD1_REFRET,-2512.4715,3229.2,Unused
1152,SD1_REFRET,-2512.4715,3285,C12
1153,VSSSDQ0,-2526.8715,3465,VSSSDQ
1154,NC_VSSSDQ0,-2526.8715,3520.8,Unused
1155,VSSSDQ0,-2559.2715,3375,VSSSDQ
1156,NC_VCCPLLSD1,-2577.2715,3229.2,Unused
1157,VCCPLLSD1,-2577.2715,3285,VCCPLLSD1
1158,VCC,-2587.4505,1961.7534,VCC
1159,VCCSD1,-2591.6715,3465,VCCSD1
1160,NC_VCCSD1,-2591.6715,3520.8,Unused
1161,SD1_RXDN,-2624.0715,3375,B10
1162,VSSSDQ0,-2656.4715,3465,VSSSDQ
1163,NC_VSSSDQ0,-2656.4715,3520.8,Unused
1164,NC_VCCPLLSD1,-2665.9215,3229.2,Unused
1165,VCCPLLSD1,-2665.9215,3285,Unused
1166,SD1_RXDP,-2688.8715,3375,C11
1167,VCCSD1,-2721.2715,3465,VCCSD1
1168,NC_VCCSD1,-2721.2715,3520.8,Unused
1169,NC_SD1_REXT,-2742.8715,3229.2,Unused
1170,SD1_REXT,-2742.8715,3285,C13
1171,VSSSDQ0,-2753.6715,3375,VSSSDQ
1172,VSSSDQ0,-2786.0715,3465,VSSSDQ
1173,NC_VSSSDQ0,-2786.0715,3520.8,Unused
1174,VCC,-2818.4715,3266.3673,Unused
1175,VSSSDQ0,-2818.4715,3375,VSSSDQ
1176,VSSSDQ0,-2850.8715,3465,VSSSDQ
1177,NC_VSSSDQ0,-2850.8715,3520.8,Unused
1178,VSS,-2883.2715,3266.3673,Unused
1179,SD0_TXDN,-2883.2715,3375,A14
1180,VSS,-2898.054,1961.7534,VSS
1181,NC_VSS,-2898.054,2026.5534,Unused
1182,VCCSD0,-2915.6715,3465,VCCSD0
1183,NC_VCCSD0,-2915.6715,3520.8,Unused
1184,SD0_TXDP,-2948.0715,3375,A15
1185,NC_SD0_REFRET,-2966.0715,3229.2,Unused
1186,SD0_REFRET,-2966.0715,3285,C15
1187,VSSSDQ0,-2980.4715,3465,VSSSDQ
1188,NC_VSSSDQ0,-2980.4715,3520.8,Unused
1189,VSSSDQ0,-3012.8715,3375,VSSSDQ
1190,NC_VCCPLLSD0,-3030.8715,3229.2,Unused
1191,VCCPLLSD0,-3030.8715,3285,VCCPLLSD0
1192,VCCSD0,-3045.2715,3465,VCCSD0
1193,NC_VCCSD0,-3045.2715,3520.8,Unused
1194,VCC,-3066.354,1961.7534,VCC
1195,NC_VCC,-3066.354,2026.5534,Unused
1196,SD0_RXDN,-3077.6715,3375,B13
1197,VSSSDQ0,-3110.0715,3465,VSSSDQ
1198,NC_VSSSDQ0,-3110.0715,3520.8,Unused
1199,NC_VCCPLLSD0,-3119.5215,3229.2,Unused
1200,VCCPLLSD0,-3119.5215,3285,Unused
1201,SD0_RXDP,-3142.4715,3375,C14
1202,VCCSD0,-3174.8715,3465,VCCSD0
1203,NC_VCCSD0,-3174.8715,3520.8,Unused
1204,NC_SD0_REXT,-3196.4715,3229.2,Unused
1205,SD0_REXT,-3196.4715,3285,C16
1206,VSSSDQ0,-3207.2715,3375,VSSSDQ
1207,VSSSDQ0,-3239.6715,3465,VSSSDQ
1208,NC_VSSSDQ0,-3239.6715,3520.8,Unused
1209,VCC,-3314.5866,3375,VCC
1210,VSS,-3386.5866,3487.5,VSS
1211,NC_VCC,-3458.5866,3308.4,Unused
1212,VCC,-3458.5866,3375,VCC
1213,NC_VSS,-3530.5866,3420.9,Unused
1214,VSS,-3530.5866,3487.5,VSS
1215,VCCPLL_ULC,-3921.7176,2562.6168,VCC
1216,VSS,-3921.7176,2778.5295,VSS
1217,VCC,-3929.4,2265.3432,VCC
1218,NC_VCC,-3929.6691,2364.3432,Unused
1219,NC_VCCPLL_ULC,-3993.9588,2508.6168,Unused
1220,NC_VCCPLL_ULC,-3993.9588,2566.2168,Unused
1221,NC_VSS,-3993.9588,2642.9157,Unused
1222,VSS,-4005,2265.3432,VSS
1223,NC_VSS,-4005.1125,2366.4168,Unused
0,VSS,0,0,H16
0,VSS,0,0,T16
0,VSS,0,0,J15
0,VSS,0,0,D12
0,VSS,0,0,R11
0,VSS,0,0,M10
0,VSS,0,0,G8
0,VSS,0,0,M8
0,VSS,0,0,P7
0,VSS,0,0,F1
0,VSS,0,0,K1
0,VSS,0,0,T1
0,VSSADC,0,0,K3
0,VCC,0,0,H15
0,VCC,0,0,F8
0,VCC,0,0,L8
0,VCC,0,0,K2
0,VCCECLK,0,0,N10
0,VCCECLK,0,0,N8
0,VCCADC18,0,0,K4
0,VCCAUX,0,0,J14
0,VCCAUX,0,0,H8
0,VCCAUXA,0,0,D13
0,VCCAUXH3,0,0,L1
0,VCCAUXH4,0,0,N7
0,VCCAUXH5,0,0,P11
0,VCCIO0,0,0,E1
0,VCCIO1,0,0,G1
0,VCCIO2,0,0,J1
0,VCCIO3,0,0,T2
0,VCCIO3,0,0,R1
0,VCCIO4,0,0,T11
0,VCCIO4,0,0,R7
0,VCCIO5,0,0,R16
0,VCCIO5,0,0,T15
0,VCCIO6,0,0,J16
0,VCCIO7,0,0,G16
0,VCCAUXSDQ0,0,0,A4
0,VCCSDCK,0,0,D11
0,VCCPLLSD0,0,0,B14
0,VCCPLLSD1,0,0,B11
0,VCCPLLSD2,0,0,B8
0,VCCPLLSD3,0,0,B5
0,VCCSD0,0,0,B16
0,VCCSD1,0,0,A13
0,VCCSD2,0,0,A10
0,VCCSD3,0,0,A7
0,VSSSDQ,0,0,A16
0,VSSSDQ,0,0,B15
0,VSSSDQ,0,0,D14
0,VSSSDQ,0,0,B12
0,VSSSDQ,0,0,E11
0,VSSSDQ,0,0,C10
0,VSSSDQ,0,0,B9
0,VSSSDQ,0,0,E9
0,VSSSDQ,0,0,C7
0,VSSSDQ,0,0,B6
0,VSSSDQ,0,0,B4
0,VSSSDQ,0,0,A3
0,VSSSDQ,0,0,A1
