# Pinout for LFCPNX-100 ,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
PADN,FNC,PADX,PADY,CBG256
228,VSSIO5,-2983.4694,-3487.5,VSS
229,NC_VCC,-2982.204,-2402.9955,Unused
230,NC_VSS,-2982.204,-2464.1955,Unused
231,PB6B,-2970.8694,-3266.9136,L16
232,PB8A,-2964.1203,-3391.6536,K13
233,VCC,-2911.4694,-3487.5,VCC
234,VSS,-2898.054,-2338.1955,VSS
235,NC_PB10A,-2875.5045,-3197.6136,Unused
236,PB10A,-2870.9694,-3266.9136,L14
237,PB8B,-2870.9694,-3391.6536,L13
238,VSS,-2839.4694,-3487.5,Unused
239,NC_PB10B,-2794.5045,-3197.6136,Unused
240,PB10B,-2786.8194,-3266.9136,K14
241,PB12A,-2780.9694,-3391.6536,K11
242,VCC,-2767.4694,-3487.5,VCC
243,NC_VSS,-2739.5694,-2897.7237,Unused
244,VSS,-2739.5694,-2964.3237,VSS
245,PB12B,-2705.8194,-3391.6536,L11
246,VSSIO5,-2695.4694,-3487.5,VSS
247,PB26A,-2685.1194,-3266.9136,M16
248,NC_VCCIO5,-2678.1624,-3185.0136,Unused
249,NC_VCCECLK,-2651.3694,-2836.5237,Unused
250,NC_VCCECLK,-2651.3694,-2897.7237,Unused
251,VCCECLK,-2651.3694,-2964.3237,VCCECLK
252,VCCIO5,-2623.4694,-3487.5,VCCIO5
253,PB26B,-2596.4694,-3266.9136,M15
254,PB28A,-2596.4694,-3391.6536,M14
255,VCC,-2564.595,-2338.1955,VCC
256,NC_VSSIO5,-2560.9545,-3185.0136,Unused
257,VSS,-2551.4694,-3487.5,VSS
258,PB28B,-2507.8194,-3391.6536,N15
259,NC_VCC,-2480.445,-2402.9955,Unused
260,VCCAUXH5,-2479.4694,-3487.5,VCCAUXH5
261,PB30A,-2466.4194,-3266.9136,N16
262,VSS,-2407.4694,-3487.5,Unused
263,VSS,-2396.295,-2338.1955,VSS
264,PB32A,-2382.2487,-3391.6536,P15
265,NC_VCCIO5,-2378.1033,-3185.0136,Unused
266,PB30B,-2370.1194,-3266.9136,P16
267,VCCIO5,-2335.4694,-3487.5,VCCIO5
268,PB32B,-2292.2487,-3391.6536,R15
269,NC_VSSIO5,-2282.8401,-3185.0136,Unused
270,PB34A,-2268.4194,-3266.9136,N14
271,VSSIO5,-2263.4694,-3487.5,VSS
272,VCC,-2191.4694,-3487.5,Unused
273,PB36A,-2184.2487,-3391.6536,M13
274,PB34B,-2184.2433,-3266.9136,N13
275,VCC,-2176.236,-2338.1955,VCC
276,VSS,-2119.4694,-3487.5,VSS
277,PB38A,-2094.2487,-3266.9136,P14
278,PB36B,-2094.2487,-3391.6536,M12
279,NC_VSS,-2092.086,-2464.1955,Unused
280,VCC,-2047.4694,-3487.5,Unused
281,NC_PB40A,-2015.5194,-3197.6136,Unused
282,PB38B,-2010.1194,-3266.9136,P13
283,VSS,-2007.936,-2338.1955,VSS
284,PB40A,-2004.2487,-3391.6536,R14
285,VSSIO5,-1975.4694,-3487.5,VSS
286,NC_VSS,-1962.8694,-2897.7237,Unused
287,VSS,-1962.8694,-2964.3237,VSS
288,NC_PB40B,-1936.8045,-3197.6136,Unused
289,PB40B,-1929.1194,-3391.6536,R13
290,PB42A,-1908.4194,-3266.9136,T14
291,VCCIO5,-1903.4694,-3487.5,VCCIO5
292,NC_VCCECLK,-1874.6694,-2836.5237,Unused
293,NC_VCCECLK,-1874.6694,-2897.7237,Unused
294,VCCECLK,-1874.6694,-2964.3237,VCCECLK
295,VSS,-1831.4694,-3487.5,Unused
296,PB44A,-1827.4194,-3391.6536,N12
297,PB42B,-1820.3283,-3266.9136,T13
298,VCCAUXH5,-1759.4694,-3487.5,VCCAUXH5
299,NC_PB46A,-1738.8045,-3197.6136,Unused
300,PB46A,-1737.3915,-3266.9136,R12
301,PB44B,-1737.3915,-3391.6536,P12
302,VSS,-1687.4694,-3487.5,Unused
303,VCC,-1674.477,-2338.1955,VCC
304,NC_PB46B,-1655.9667,-3197.6136,Unused
305,PB46B,-1650.1194,-3266.9136,T12
306,PB48A,-1645.6572,-3391.6536,N11
307,VCCIO5,-1615.4694,-3487.5,VCCIO5
308,NC_VCC,-1590.327,-2402.9955,Unused
309,NC_VSS,-1590.327,-2464.1955,Unused
310,NC_PB48B,-1576.8045,-3118.4127,Unused
311,PB48B,-1569.1194,-3391.6536,M11
312,VSSIO5,-1543.4694,-3487.5,VSS
313,VSS,-1506.177,-2338.1955,VSS
314,VCCECLK,-1495.2429,-3266.9136,VCCECLK
315,VCCECLK,-1495.2429,-3391.6536,VCCECLK
316,NC_VCCECLK,-1495.1799,-3118.4127,Unused
317,NC_VCCECLK,-1495.1799,-3197.6136,Unused
318,VCC,-1471.4694,-3487.5,Unused
319,VSS,-1401.2694,-3391.6536,Unused
320,PB50A,-1388.3445,-3266.9136,K10
321,NC_VCCAUXH4,-1387.8045,-3062.6136,Unused
322,NC_VCCAUXH4,-1387.8045,-3118.4136,Unused
323,NC_PB50A,-1387.8045,-3197.6136,Unused
324,VCCAUXH4,-1351.7694,-3487.5,VCCAUXH4
325,PB52A,-1311.2694,-3391.6536,P10
326,PB50B,-1299.1194,-3266.9136,L10
327,VSS,-1286.118,-2338.1955,VSS
328,VSS,-1279.7694,-3487.5,Unused
329,NC_VSS,-1251.8694,-2897.7237,Unused
330,VSS,-1251.8694,-2964.3237,VSS
331,PB52B,-1221.2694,-3391.6536,R10
332,VCCIO4,-1207.7694,-3487.5,VCCIO4
333,NC_VSS,-1201.968,-2464.1955,Unused
334,PB54A,-1195.1694,-3266.9136,T10
335,NC_VCCECLK,-1163.6694,-2836.5237,Unused
336,NC_VCCECLK,-1163.6694,-2897.7237,Unused
337,VCCECLK,-1163.6694,-2964.3237,VCCECLK
338,VSSIO4,-1135.7694,-3487.5,VSS
339,PB54B,-1123.1694,-3266.9136,T9
340,VCC,-1117.818,-2338.1955,VCC
341,PB56A,-1116.4194,-3391.6536,R9
342,VCC,-1063.7694,-3487.5,VCC
343,PB58A,-1023.2694,-3266.9136,N9
344,PB56B,-1023.2694,-3391.6536,P9
345,VSS,-991.7694,-3487.5,Unused
346,PB58B,-939.1194,-3266.9136,M9
347,PB60A,-939.1194,-3391.6536,L9
348,VCC,-919.7694,-3487.5,VCC
349,PB60B,-858.1194,-3391.6536,K9
350,VSSIO4,-847.7694,-3487.5,VSS
351,PB62A,-837.4194,-3266.9136,Unused
352,NC_VCCIO4,-830.4624,-3185.0136,Unused
353,VCC,-784.359,-2338.1955,VCC
354,VCCIO4,-775.7694,-3487.5,VCCIO4
355,PB64A,-756.4158,-3391.6536,Unused
356,PB62B,-749.0592,-3266.9136,Unused
357,NC_VSSIO4,-746.5194,-3185.0136,Unused
358,VSS,-703.7694,-3487.5,VSS
359,NC_VCC,-700.209,-2402.9955,Unused
360,PB66A,-663.2694,-3266.9136,Unused
361,PB64B,-663.2694,-3391.6536,Unused
362,VCCAUXH4,-631.7694,-3487.5,VCCAUXH4
363,VSS,-616.059,-2338.1955,VSS
364,PB66B,-585.0099,-3266.9136,Unused
365,PB80A,-585.0099,-3391.6536,Unused
366,VSS,-559.7694,-3487.5,VSS
367,NC_VSS,-531.8694,-2897.7237,Unused
368,VSS,-531.8694,-2964.3237,VSS
369,PB80B,-498.1194,-3391.6536,Unused
370,VCCIO4,-487.7694,-3487.5,Unused
371,PB82A,-475.1694,-3266.9136,Unused
372,NC_VCCECLK,-443.6694,-2836.5237,Unused
373,NC_VCCECLK,-443.6694,-2897.7237,Unused
374,VCCECLK,-443.6694,-2964.3237,VCCECLK
375,VSSIO4,-415.7694,-3487.5,VSS
376,PB82B,-403.1694,-3266.9136,Unused
377,PB84A,-393.2694,-3391.6536,Unused
378,VCC,-343.7694,-3487.5,VCC
379,PB86A,-306.2088,-3266.9136,Unused
380,PB84B,-306.2088,-3391.6536,Unused
381,VSS,-271.7694,-3487.5,Unused
382,PB86B,-219.1194,-3266.9136,Unused
383,PB88A,-219.1194,-3391.6536,Unused
384,VCC,-199.7694,-3487.5,VCC
385,PB88B,-138.1194,-3391.6536,Unused
386,VSS,-135,-2338.1955,VSS
387,VSSIO4,-127.7694,-3487.5,VSS
388,PB90A,-105.2694,-3266.9136,Unused
389,NC_VSSIO4,-99.8694,-3185.0136,Unused
390,VCCIO4,-55.7694,-3487.5,VCCIO4
391,NC_VSS,-50.85,-2464.1955,Unused
392,PB90B,-33.2694,-3266.9136,Unused
393,PB92A,-33.2694,-3391.6536,Unused
394,NC_VCCIO4,-28.1457,-3185.0136,Unused
395,VSS,16.2306,-3487.5,VSS
396,VCC,33.3,-2338.1955,VCC
397,PB92B,59.8806,-3391.6536,Unused
398,PB94A,101.2806,-3266.9136,Unused
399,VCCAUXH4,144.9306,-3487.5,VCCAUXH4
400,PB94B,185.4306,-3266.9136,Unused
401,PB96A,185.4306,-3391.6536,Unused
402,VSS,216.9306,-3487.5,VSS
403,NC_VSS,244.8306,-2897.7237,Unused
404,VSS,244.8306,-2964.3237,VSS
405,PB96B,278.5806,-3391.6536,Unused
406,VCCIO4,288.9306,-3487.5,VCCIO4
407,PB98A,301.5306,-3266.9136,L7
408,NC_VCCECLK,333.0306,-2836.5237,Unused
409,NC_VCCECLK,333.0306,-2897.7237,Unused
410,VCCECLK,333.0306,-2964.3237,VCCECLK
411,VSSIO4,360.9306,-3487.5,VSS
412,VCC,366.759,-2338.1955,VCC
413,PB98B,373.5306,-3266.9136,M7
414,PB100A,380.2806,-3391.6536,P8
415,NC_PB100A,386.1297,-3197.6136,Unused
416,VCC,432.9306,-3487.5,VCC
417,NC_VCC,450.909,-2402.9955,Unused
418,NC_VSS,450.909,-2464.1955,Unused
419,NC_PB100B,470.7297,-3197.6136,Unused
420,PB102A,471.6585,-3266.9136,T8
421,PB100B,471.6585,-3391.6536,R8
422,VSS,504.9306,-3487.5,Unused
423,VSS,535.059,-2338.1955,VSS
424,PB102B,557.5797,-3266.9136,T7
425,PB104A,559.3806,-3391.6536,M6
426,VCC,576.9306,-3487.5,VCC
427,PB104B,638.5806,-3391.6536,N6
428,VSSIO4,648.9306,-3487.5,VSS
429,PB106A,671.4306,-3266.9136,P6
430,VCCIO4,720.9306,-3487.5,VCCIO4
431,PB106B,743.4306,-3266.9136,R6
432,PB108A,743.4306,-3391.6536,T6
433,VSS,755.118,-2338.1955,VSS
434,VSS,792.9306,-3487.5,Unused
435,NC_VSS,824.4306,-2897.7237,Unused
436,VSS,824.4306,-2964.3237,VSS
437,NC_PB108B,828.8955,-3118.4127,Unused
438,PB108B,833.4306,-3391.6536,T5
439,VCCECLK,905.9895,-3266.9136,VCCECLK
440,VCCECLK,905.9895,-3391.6536,VCCECLK
441,NC_VCCECLK,906.0525,-3118.4127,Unused
442,NC_VCCECLK,906.0525,-3197.6136,Unused
443,NC_VCCECLK,912.6306,-2836.5237,Unused
444,NC_VCCECLK,912.6306,-2897.7237,Unused
445,VCCECLK,912.6306,-2964.3237,VCCECLK
446,VCC,923.418,-2338.1955,VCC
447,VCC,925.7895,-3487.5,Unused
448,VSS,1004.4306,-3391.6536,Unused
449,PB110A,1017.3555,-3266.9136,R5
450,NC_VCCAUXH3,1017.8955,-3062.6136,Unused
451,NC_VCCAUXH3,1017.8955,-3118.4136,Unused
452,NC_PB110A,1017.8955,-3197.6136,Unused
453,VCCAUXH3,1053.9306,-3487.5,VCCAUXH3
454,PB112A,1094.4306,-3391.6536,N5
455,NC_PB110B,1100.7306,-3197.6136,Unused
456,PB110B,1106.5806,-3266.9136,R4
457,VSS,1125.9306,-3487.5,VSS
458,PB112B,1184.4306,-3391.6536,P5
459,VCCIO3,1197.9306,-3487.5,VCCIO3
460,PB114A,1210.5306,-3266.9136,T3
461,VCC,1256.877,-2338.1955,VCC
462,VSSIO3,1269.9306,-3487.5,VSS
463,PB114B,1282.5306,-3266.9136,T4
464,PB116A,1289.2806,-3391.6536,M5
465,NC_VCC,1341.027,-2402.9955,Unused
466,NC_VSS,1341.027,-2464.1955,Unused
467,VCC,1341.9306,-3487.5,Unused
468,NC_PB118A,1377.8955,-3197.6136,Unused
469,PB118A,1382.4306,-3266.9136,P3
470,PB116B,1382.4306,-3391.6536,N4
471,VSS,1413.9306,-3487.5,VSS
472,VSS,1425.177,-2338.1955,VSS
473,NC_PB118B,1458.8955,-3197.6136,Unused
474,PB118B,1466.5806,-3266.9136,P4
475,PB120A,1466.5806,-3391.6536,R2
476,VCC,1485.9306,-3487.5,Unused
477,NC_VSS,1513.8306,-2897.7237,Unused
478,VSS,1513.8306,-2964.3237,VSS
479,PB120B,1547.5806,-3391.6536,R3
480,VSSIO3,1557.9306,-3487.5,VSS
481,PB122A,1568.2806,-3266.9136,Unused
482,NC_VCCIO3,1575.2376,-3185.0136,Unused
483,NC_VCCECLK,1602.0306,-2836.5237,Unused
484,NC_VCCECLK,1602.0306,-2897.7237,Unused
485,VCCECLK,1602.0306,-2964.3237,VCCECLK
486,VCCIO3,1629.9306,-3487.5,VCCIO3
487,VSS,1645.236,-2338.1955,VSS
488,PB124A,1649.2842,-3391.6536,Unused
489,PB122B,1656.6408,-3266.9136,Unused
490,NC_VSSIO3,1659.1806,-3185.0136,Unused
491,VSS,1701.9306,-3487.5,Unused
492,NC_VSS,1729.386,-2464.1955,Unused
493,PB126A,1742.4306,-3266.9136,Unused
494,PB124B,1742.4306,-3391.6536,Unused
495,VCCAUXH3,1773.9306,-3487.5,VCCAUXH3
496,VCC,1813.536,-2338.1955,VCC
497,PB126B,1820.6901,-3266.9136,Unused
498,PB128A,1820.6901,-3391.6536,Unused
499,VSS,1845.9306,-3487.5,Unused
500,PB128B,1907.5806,-3391.6536,Unused
501,VCCIO3,1917.9306,-3487.5,VCCIO3
502,PB130A,1930.5306,-3266.9136,Unused
503,VSSIO3,1989.9306,-3487.5,VSS
504,PB130B,2002.5306,-3266.9136,Unused
505,PB132A,2012.4306,-3391.6536,Unused
506,VCC,2061.9306,-3487.5,VCC
507,PB134A,2099.4912,-3266.9136,Unused
508,PB132B,2099.4912,-3391.6536,Unused
509,VSS,2133.9306,-3487.5,VSS
510,VCC,2146.995,-2338.1955,VCC
511,PB134B,2186.5806,-3266.9136,Unused
512,PB136A,2186.5806,-3391.6536,Unused
513,VCC,2205.9306,-3487.5,VCC
514,NC_VCC,2231.145,-2402.9955,Unused
515,NC_VSS,2233.8306,-2897.7237,Unused
516,VSS,2233.8306,-2964.3237,VSS
517,PB136B,2267.5806,-3391.6536,Unused
518,VSSIO3,2277.9306,-3487.5,VSS
519,PB138A,2300.4306,-3266.9136,Unused
520,NC_VSSIO3,2305.8306,-3185.0136,Unused
521,VSS,2315.295,-2338.1955,VSS
522,NC_VCCECLK,2322.0306,-2836.5237,Unused
523,NC_VCCECLK,2322.0306,-2897.7237,Unused
524,VCCECLK,2322.0306,-2964.3237,VCCECLK
525,VCCIO3,2349.9306,-3487.5,Unused
526,PB138B,2372.4306,-3266.9136,Unused
527,PB140A,2372.4306,-3391.6536,Unused
528,NC_VCCIO3,2377.5543,-3185.0136,Unused
529,VSS,2421.9306,-3487.5,VSS
530,PB140B,2465.5806,-3391.6536,Unused
531,PB142A,2506.9806,-3266.9136,Unused
532,VCCAUXH3,2550.6306,-3487.5,VCCAUXH3
533,PB142B,2591.1306,-3266.9136,Unused
534,PB144A,2591.1306,-3391.6536,Unused
535,VSS,2622.6306,-3487.5,VSS
536,VSS,2648.754,-2338.1955,VSS
537,PB144B,2684.2806,-3391.6536,Unused
538,VCCIO3,2694.6306,-3487.5,VCCIO3
539,PB146A,2707.2306,-3266.9136,M3
540,NC_VSS,2732.904,-2464.1955,Unused
541,VSSIO3,2766.6306,-3487.5,VSS
542,PB146B,2779.2306,-3266.9136,N3
543,PB148A,2785.9806,-3391.6536,N2
544,NC_PB148A,2793.5955,-3197.6136,Unused
545,VCC,2817.054,-2338.1955,VCC
